titulo_pelicula,director,ciclo,pais,asistencia,funciones,genero,anio_exhibicion,mes_exhibicion,lugar_exhibicion
31 Festival,VARIOS,FETIVAL,"España, México",174,1,ADULTOS,2019,ENERO ,Sala
Acusada,Gonzalo Tobal,CC,"Argentina, México ",3601,27,ADULTOS ,2019,ENERO ,Sala
Agonía de Amor,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,91,1,ADULTOS,2019,ENERO ,Sala
Al tercer tiro ,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,103,1,ADULTOS,2019,ENERO ,Sala
Alanis,Anahí Berneri ,CC,Argentina,4254,46,ADULTOS ,2019,ENERO ,Sala
AMA-SAN,Claudia Varejao ,Cine Portugués,"Portugal, Japón, Suiza",97,1,ADULTOS,2019,ENERO ,Sala
Anna Karenina. La historia del conde Vronsky,Karen Shakhnazarov,CC,Rusia,361,3,ADULTOS ,2019,ENERO ,Sala
Así es la vida,Arturo Ripstein,Retrospectiva Ripstein,"México, España, Francia",94,1,ADULTOS,2019,ENERO ,Sala
Buscando a Ingmar Bergman ,"Margarethe Von Trotta, Felix Moeller & Bettina Böhler",CC,"Alemania, Francia",633,29,ADULTOS,2019,ENERO ,Sala
Cadena perpetua ,Arturo Ripstein,Retrospectiva Ripstein,México,60,1,ADULTOS,2019,ENERO ,Sala
Caniba,Véréna Paravel & Lucien Castaing-taylor,ESTRENO,Francia,846,6,ADULTOS,2019,ENERO ,Sala
Climax,Gaspar Noe,ESTRENO,"Francia, Bélgica, Estados Unidos ",9454,28,ADULTOS,2019,ENERO ,Sala
Con M de muerte,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,312,2,ADULTOS,2019,ENERO ,Sala
Cortina rasgada,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,102,1,ADULTOS,2019,ENERO ,Sala
Cortometrajes Joao Pedro Rodrigues,Joao Pedro Rodrigues,Cine Portugués,"Portugal, Francia, Macao ",38,1,ADULTOS,2019,ENERO ,Sala
Cuéntame tu vida,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,144,2,ADULTOS,2019,ENERO ,Sala
De entre los muertos ,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,163,1,ADULTOS,2019,ENERO ,Sala
Distancias cortas,Alejandro Guzmán Alvarez,ESTRENO,México ,804,11,ADULTOS,2019,ENERO ,Sala
Djon África,Joao Miller Guerra & Filipa Reis,Cine Portugués,"Portugal, Brasil, Cabo Verde",87,1,ADULTOS,2019,ENERO ,Sala
Dulces Sueños,Marco Bellocchio,Estreno ,"Italia, Francia ",2921,43,ADULTOS,2019,ENERO ,Sala
El árbol de Higo,Almarok Avidian,Cine Judio,Israel,298,3,ADULTOS,2019,ENERO ,Sala
El buen cristiano, Izabel Acevedo,CC,México ,199,13,ADULTOS ,2019,ENERO ,Sala
El castillo de la pureza,Arturo Ripstein,Retrospectiva Ripstein,México,173,1,ADULTOS,2019,ENERO ,Sala
El charro de Toluquilla,José Villalobos,CC,México ,497,24,ADULTOS ,2019,ENERO ,Sala
El desafío,Jean van de Velde,Cine Judio,"Sudafrica, Países Bajos",247,3,ADULTOS ,2019,ENERO ,Sala
El evangelio de las maravillas,Arturo Ripstein,Retrospectiva Ripstein,"México, España, Argentina",88,1,ADULTOS,2019,ENERO ,Sala
El Hombre de Arán,Robert Flaherty,Clásicos en pantalla,Reino Unido,183,2,ADULTOS,2019,ENERO ,Sala
El imperio de la fortuna,Arturo Ripstein,Retrospectiva Ripstein,México,180,1,ADULTOS,2019,ENERO ,Sala
El infiltrado del KKKlan,Spike Lee,ESTRENO,Estados Unidos ,10541,40,ADULTOS,2019,ENERO ,Sala
El lugar sin límites,Arturo Ripstein,Retrospectiva Ripstein,México,169,1,ADULTOS,2019,ENERO ,Sala
El ornitólogo,Joao Pedro Rodrigues,Cine Portugués,"Portugal, Francia, Brasil ",71,1,ADULTOS,2019,ENERO ,Sala
El planeta salvaje,René Laloux,CC,"Francia, Checoslovaquia",7400,60,ADULTOS ,2019,ENERO ,Sala
El reino de la sirena,Luis Rincón,CC,México ,223,7,ADULTOS ,2019,ENERO ,Sala
En el valle de las sombras,Jonas Matzow,ESTRENO,Noruega,4088,40,ADULTOS,2019,ENERO ,Sala
En manos del destino,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,88,1,ADULTOS,2019,ENERO ,Sala
Érase una vez,Juan Carlos Rulfo,CC,México ,1291,24,ADULTOS ,2019,ENERO ,Sala
Estrellas solitarias,Fernando Urdapilleta,CC,México ,172,9,ADULTOS ,2019,ENERO ,Sala
"Exorcismos, La belleza, Crimen, Autobiografía",Arturo Ripstein,Retrospectiva Ripstein,México,58,1,ADULTOS,2019,ENERO ,Sala
Frenesí,Alfred Hitchcock ,Ciclo Hitchcock,"Estados Unidos, Reino Unido ",269,2,ADULTOS,2019,ENERO ,Sala
Héroes de ocasión,Leo McCarey,Clásicos en pantalla,Estados Unidos ,348,2,ADULTOS,2019,ENERO ,Sala
Hipnosis para ser feliz,Víctor Audiffred,CC,México ,1782,28,ADULTOS ,2019,ENERO ,Sala
Hitchcock/Truffaut,Kent Jones,CC,"Estados Unidos, Francia",403,19,ADULTOS ,2019,ENERO ,Sala
Imitación de la vida ,Douglas Sirk ,Clásicos en pantalla,Estados Unidos,240,2,ADULTOS,2019,ENERO ,Sala
Intriga internacional ,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,120,1,ADULTOS,2019,ENERO ,Sala
La calle de la Amargura,Arturo Ripstein,Retrospectiva Ripstein,"México, España",276,2,ADULTOS,2019,ENERO ,Sala
La casa de Jack,Lars von Trier,CC,Dinamarca,16065,67,ADULTOS ,2019,ENERO ,Sala
La casa más grande del mundo,Ana V. Bojórquez y Lucía Carreras,CC,"Guatemala, México ",1326,34,ADULTOS ,2019,ENERO ,Sala
La imagen que perdiste,Dónal Foreman,CC,"Francia, Irlanda, Estados Unidos, Reino Unido",443,15,ADULTOS ,2019,ENERO ,Sala
La maestra de kínder ,Sara Colangelo,CC,Estados Unidos,2034,14,ADULTOS ,2019,ENERO ,Sala
La mujer del puerto ,Arturo Ripstein,Retrospectiva Ripstein,México,90,1,ADULTOS,2019,ENERO ,Sala
La perdición de los Hombres,Arturo Ripstein,Retrospectiva Ripstein,"México, España",44,1,ADULTOS,2019,ENERO ,Sala
La soga,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,145,1,ADULTOS,2019,ENERO ,Sala
La sombra de una duda,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,164,1,ADULTOS,2019,ENERO ,Sala
La ventana indiscreta ,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,291,2,ADULTOS,2019,ENERO ,Sala
La violación,Juliette Chenais de Busscher,CC,Francia ,2630,22,ADULTOS ,2019,ENERO ,Sala
Las dos Irenes,Fabio Meira,ESTRENO,Brasil,2219,32,ADULTOS,2019,ENERO ,Sala
Las razones del corazón ,Arturo Ripstein,Retrospectiva Ripstein,"México, España",124,1,ADULTOS,2019,ENERO ,Sala
Las reglas del todo,Kim Hiorthøy,CC,Noruega,1756,18,ADULTOS ,2019,ENERO ,Sala
Los años azules,Sofía  Gómez Córdoba,ESTRENO,México ,1884,25,ADULTOS,2019,ENERO ,Sala
Los Disidentes,Eliran Malka,Cine Judio,Israel,333,3,ADULTOS,2019,ENERO ,Sala
Los Pájaros,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,325,2,ADULTOS,2019,ENERO ,Sala
Luz Oscura,Susana de Sousa Dias,Cine Portugués,Portugal,37,1,ADULTOS ,2019,ENERO ,Sala
Marnie ,Alfred Hitchcock ,Ciclo Hitchcock,"Estados Unidos, Reino Unido ",230,2,ADULTOS,2019,ENERO ,Sala
Nostalgia,Andréi Tarkovsky,Cine y Literatura,URSS,190,1,ADULTOS,2019,ENERO ,Sala
Mentiras Piadosas,Arturo Ripstein,Retrospectiva Ripstein,México,123,1,ADULTOS,2019,ENERO ,Sala
Morir como Hombre,Joao Pedro Rodrigues,Cine Portugués,"Portugal, Francia ",154,1,ADULTOS,2019,ENERO ,Sala
Museo ,Alonso Ruizpalacios,CC,México ,342,2,ADULTOS ,2019,ENERO ,Sala
Nadie sabrá nunca,Jesús Torres Torres,Conversando Cineastas,México ,182,1,ADULTOS,2019,ENERO ,Sala
Programa de Cortometrajes,Roberto Fiesco,Conversando Cineastas,México,153,1,ADULTOS,2019,ENERO ,Sala
Quebranto,Roberto Fiesco,Conversando Cineastas,México,170,1,ADULTOS,2019,ENERO ,Sala
Astérix: el secreto de la poción mágica,Alexandre Astier & Louis Clichy,ESTRENO,Francia,629,8,NIÑOS,2019,ENERO ,Sala
Náufragos,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,47,1,ADULTOS,2019,ENERO ,Sala
"No te preocupes, no irá lejos",Gus Van Sant,CC,Estados Unidos ,3981,31,ADULTOS ,2019,ENERO ,Sala
Nueva Venecia, Emiliano Mazza,CC,"Uruguay, Colombia",668,27,ADULTOS ,2019,ENERO ,Sala
Our madness,Joao Viana,Cine Portugués,"Portugal, Mozambique, Francia",89,1,ADULTOS ,2019,ENERO ,Sala
Pájaros de verano,Cristina Gallego y Ciro Guerra,CC,"Colombia, Dinamarca, México ",5785,44,ADULTOS ,2019,ENERO ,Sala
Pinsky,Amanda Lundquist,Cine Judio,Estados Unidos,186,3,ADULTOS,2019,ENERO ,Sala
Potentiae ,Javier Toscano,CC,México ,172,14,ADULTOS ,2019,ENERO ,Sala
Principio y fin,Arturo Ripstein,Retrospectiva Ripstein,México,164,1,ADULTOS,2019,ENERO ,Sala
Profundo Carmesí,Arturo Ripstein,Retrospectiva Ripstein,"México, España, Francia",112,1,ADULTOS,2019,ENERO ,Sala
Psicosis,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,342,2,ADULTOS,2019,ENERO ,Sala
Abril y el mundo extraodinario,Christian Desmares y Franck Ekinci,Matinée de reyes,"Francia , Bélgica & Canadá",367,2,NIÑOS,2019,ENERO ,Sala
"Los Moomin, la película",Xavier Picard,Matinée de reyes / Matinée Infantil,Finlandia & Francia,1887,8,NIÑOS,2019,ENERO ,Sala
Luces en el Cielo,Akiyuki Shinbou & Nobuyuki Takeuchi,Matinée de reyes,Japón,156,2,NIÑOS,2019,ENERO ,Sala
Pueblerina ,Emilio Fernández,Clásicos en pantalla,México,199,2,ADULTOS,2019,ENERO ,Sala
Resurrección,Eugenio Polgovsky,CC,México ,176,9,ADULTOS ,2019,ENERO ,Sala
Roma ,Alfonso Cuarón ,CC,México,24045,83,ADULTOS ,2019,ENERO ,Sala
Saboteador ,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,174,1,ADULTOS,2019,ENERO ,Sala
seminario ,Sin dato,CC,Sin dato,73,1,ADULTOS,2019,ENERO ,Sala
Ser niño de nuevo,Gabriel y Moy Volcovich,Cine Judio,"México, Canadá, Israel",309,3,ADULTOS,2019,ENERO ,Sala
Sinvivir ,Anaïs Pareto Onghena,CC,México ,288,9,ADULTOS ,2019,ENERO ,Sala
Spell Reel,Filipa Cesar ,Cine Portugués,"Alemania, Portugal, Francia, Guinea, Bisáu",18,1,ADULTOS,2019,ENERO ,Sala
Tel Aviv en Llamas,Sameh Zoabi,Cine Judio,"Luxemburgo, Francia, Bélgica , Israel",317,3,ADULTOS,2019,ENERO ,Sala
Terra Franca,Leonor Teles,Cine Portugués,Portugal,39,1,ADULTOS ,2019,ENERO ,Sala
Topaz,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,58,1,ADULTOS,2019,ENERO ,Sala
Trama Macabra,Alfred Hitchcock ,Ciclo Hitchcock,"Estados Unidos, Reino Unido ",139,1,ADULTOS,2019,ENERO ,Sala
Tuyo es mi corazón,Alfred Hitchcock ,Ciclo Hitchcock,Estados Unidos,185,2,ADULTOS,2019,ENERO ,Sala
Un Exilio: película familiar,Juan Francisco Urrusti,CC,México ,90,3,ADULTOS ,2019,ENERO ,Sala
Un Filósofo de Arena ,Aarón Fernández y Jesús Muñoz,PREMIER,"México, España",174,1,ADULTOS ,2019,ENERO ,Sala
Vaca Roja,Tsivia Barkai,Cine Judio,Israel,218,3,ADULTOS,2019,ENERO ,Sala
Conferencia Hitchcock,Sin dato,Conferencia,Sin dato,76,1,ADULTOS,2019,ENERO ,Sala
Viaje a los pueblos fumigados,Pino Solanas,ESTRENO,Argentina,643,27,ADULTOS,2019,ENERO ,Sala
Winter Brothers: La odisea ,Hlynur Pálmason ,ESTRENO,"Dinamarca, Islandia",436,10,ADULTOS,2019,ENERO ,Sala
"CLÁSICOS DEL CINE MEXICANO
LA OTRA",Roberto Gavaldón,CLÁSICOS DEL CINE MEXICANO,México,90,1,ADULTOS,2019,ENERO ,FORO 
"CLÁSICOS DEL CINE MEXICANO
EL ESQUELETO DE LA SEÑORA MORALES",Rogelio A. González,CLÁSICOS DEL CINE MEXICANO,México,159,1,ADULTOS,2019,ENERO ,FORO 
"CLÁSICOS DEL CINE MEXICANO
ENAMORADA",Emilio Fernández,CLÁSICOS DEL CINE MEXICANO,México,165,1,ADULTOS,2019,ENERO ,FORO 
"CLÁSICOS DEL CINE MEXICANO
EN LA PALMA DE TU MANO",Roberto Gavaldón,CLÁSICOS DEL CINE MEXICANO,México,132,1,ADULTOS,2019,ENERO ,FORO 
"CLÁSICOS DEL CINE MEXICANO
SALÓN MÉXICO",Emilio Fernández,CLÁSICOS DEL CINE MEXICANO,México,136,1,ADULTOS,2019,ENERO ,FORO 
"CLÁSICOS DEL CINE MEXICANO
LA DIOSA ARRODILLADA",Roberto Gavaldón,CLÁSICOS DEL CINE MEXICANO,México,65,1,ADULTOS,2019,ENERO ,FORO 
"CLÁSICOS DEL CINE MEXICANO
UNA FAMILIA DE TANTAS",Alejandro Galindo,CLÁSICOS DEL CINE MEXICANO,México,210,1,ADULTOS,2019,ENERO ,FORO 
"CLÁSICOS DEL CINE MEXICANO
AHÍ ESTÁ EL DETALLE",Juan Bustillo Oro,CLÁSICOS DEL CINE MEXICANO,México,98,1,ADULTOS,2019,ENERO ,FORO 
"CINECLUB 43
MUJER. SE VA LA VIDA, COMPAÑERA ",Mariana X. Rivera García,CINECLUB 43,México,235,1,ADULTOS,2019,ENERO ,FORO 
"FESTIVAL INTERNACIONAL DE CINE JUDÍO
EL ÁRBOL DE HIGO",Almarok Avidian,FESTIVAL INTERNACIONAL DE CINE JUDÍO,Israel,220,1,ADULTOS,2019,ENERO ,FORO 
"CLÁSICOS DEL CINE MEXICANO
AVENTURERA",Alberto Gout,CLÁSICOS DEL CINE MEXICANO,México,120,1,ADULTOS,2019,ENERO ,FORO 
La favorita,Yorgos Lanthimos,ESTRENO,"Reino Unido, Irlanda, Estados Unidos",13245,49,ADULTOS,2019,FEBRERO,Sala
Climax,Gaspar Noé,CC,"Francia, Bélgica, Estados Unidos",14659,60,ADULTOS,2019,FEBRERO,Sala
La casa de Jack,Lars von Trier,CC,Dinamarca,1265,12,ADULTOS,2019,FEBRERO,Sala
El infiltrado de KKKlan,Spike Lee,CC,Estados Unidos,11413,44,ADULTOS,2019,FEBRERO,Sala
Roma,Alfonso Cuarón,CC,México,8875,50,ADULTOS,2019,FEBRERO,Sala
"El vicepresidente, más allá del poder",Adam McKay,ESTRENO,Estados Unidos,5905,33,ADULTOS,2019,FEBRERO,Sala
Pájaros de verano,Cristina Gallego y Ciro Guerra,CC,"Colombia, Dinamarca, México",808,10,ADULTOS,2019,FEBRERO,Sala
El planeta salvaje,René Laloux,CC,"Francia, Checoslovaquia",2016,24,ADULTOS,2019,FEBRERO,Sala
Caniba,Véréna Paravel y Lucien Castaing-Taylor,CC,Francia,2458,22,ADULTOS,2019,FEBRERO,Sala
Dulces sueños,Marco Bellocchio,CC,"Italia, Francia",544,12,ADULTOS,2019,FEBRERO,Sala
El charro de toluquilla,José Villalobos,CC,México,46,3,ADULTOS,2019,FEBRERO,Sala
La casa más grande del mundo,Ana V. Bojórquez y Lucía Carreras,CC,"Guatemala, México",138,4,ADULTOS,2019,FEBRERO,Sala
Nueva venecia,Emiliano Mazza,CC,"Uruguay, Colombia",144,4,ADULTOS,2019,FEBRERO,Sala
Érase un vez,Juan Carlos Rulfo,CC,México,198,6,ADULTOS,2019,FEBRERO,Sala
Hipnosis para ser feliz,Víctor Audiffred,CC,México,387,11,ADULTOS,2019,FEBRERO,Sala
Un filósofo en la arena,Aarón Fernández y Jesús Muñoz,ESTRENO,"México, España",1944,29,ADULTOS,2019,FEBRERO,Sala
Viaje a los pueblos fumigados,Fernando E. Solanas,CC,Argentina,577,27,ADULTOS,2019,FEBRERO,Sala
1900 (primera parte),Bernardo Bertolucci,Clásicos en pantalla,"Italia, Francia, Republica Federal de Alemania",840,4,ADULTOS,2019,FEBRERO,Sala
1900 (segunda parte),Bernardo Bertolucci,Clásicos en pantalla,"Italia, Francia, Republica Federal de Alemania",669,3,ADULTOS,2019,FEBRERO,Sala
En el valle de las sombras ,Jonas Matzow Gulbrandsen,CC,Noruega,3028,37,ADULTOS,2019,FEBRERO,Sala
Beuys,Andres Veiel,ESTRENO,Alemania,547,9,ADULTOS,2019,FEBRERO,Sala
Distancias Cortas,Alejandro Guzmán Álvarez,CC,México,1864,31,ADULTOS,2019,FEBRERO,Sala
Winter Brothers: la Odisea,Hiynur Pálmason,CC,"Dinamarca, Islandia",1431,34,ADULTOS,2019,FEBRERO,Sala
Acusada,Gonzalo Tobal,CC,"Argentina, México",476,6,ADULTOS,2019,FEBRERO,Sala
Alanis,Anahí Berneli,CC,Argentina,1987,22,ADULTOS,2019,FEBRERO,Sala
Agonía de amor,Alfred Hitchcock,Ciclo Hitchcock,Estados Unidos,115,1,ADULTOS,2019,FEBRERO,Sala
Los años azules,Sofía Gómez Córdoba,CC,México,1566,30,ADULTOS,2019,FEBRERO,Sala
Las dos Irenes,Fabio Meira,CC,Brazil,2207,33,ADULTOS,2019,FEBRERO,Sala
Preludios: Las otras partituras de Dios,Rafael Rangel,Conversando Cineastas,México,125,1,ADULTOS,2019,FEBRERO,Sala
Astérix: el secreto de la poción mágica,"Alexandre Astier, Louis Clichy",Matineé Infantil,Francia,1698,12,NIÑOS,2019,FEBRERO,Sala
"los moomin, la película",Xavier Picard,Matineé Infantil,"Finlandia, Francia",619,9,NIÑOS,2019,FEBRERO,Sala
La soga,Alfred Hitchcock,Ciclo Hitchcock,Estados Unidos,245,2,ADULTOS,2019,FEBRERO,Sala
Mi secreto me condena,Alfred Hitchcock,Ciclo Hitchcock,Estados Unidos,65,1,ADULTOS,2019,FEBRERO,Sala
Cortina rasgada,Alfred Hitchcock,Ciclo Hitchcock,Estados Unidos,77,1,ADULTOS,2019,FEBRERO,Sala
Frenesí,Alfred Hitchcock,Ciclo Hitchcock,Estados Unidos,92,1,ADULTOS,2019,FEBRERO,Sala
Topaz,Alfred Hitchcock,Ciclo Hitchcock,Estados Unidos,49,1,ADULTOS,2019,FEBRERO,Sala
La ventana indiscreta,Alfred Hitchcock,Ciclo Hitchcock,Estados Unidos,291,2,ADULTOS,2019,FEBRERO,Sala
"No te preocupes, no irá lejos",Gus Van Sant,CC,Estados Unidos,205,2,ADULTOS,2019,FEBRERO,Sala
Al tercer tiro,Alfred Hitchcock,Ciclo Hitchcock,Estados Unidos,92,1,ADULTOS,2019,FEBRERO,Sala
En manos del destino,Alfred Hitchcock,Ciclo Hitchcock,Estados Unidos,62,1,ADULTOS,2019,FEBRERO,Sala
Cafarnaúm la ciudad olvidada  ,Nadine Labak,ESTRENO,Libano,5744,38,ADULTOS,2019,FEBRERO,Sala
India ,Roberto Rossellini,ESTRENO,"Italia, Francia",670,29,ADULTOS,2019,FEBRERO,Sala
Mi papá se llama Lola,Nadir Moknèche,ESTRENO,"Francia, Bélgica",3305,36,ADULTOS,2019,FEBRERO,Sala
La masacre de Chicago,Roger Corman,Clásicos en pantalla,Estados Unidos,527,2,ADULTOS,2019,FEBRERO,Sala
Mientras se espera,Paola Villanueva Bidault,ESTRENO,México,732,27,ADULTOS,2019,FEBRERO,Sala
Un asunto de familia ,Hirokazu Kore-eda,ESTRENO,Japón,4651,28,ADULTOS,2019,FEBRERO,Sala
Guerra fría ,Pawel Pawlikowski,ESTRENO,"Polonia, Francia",6811,29,ADULTOS,2019,FEBRERO,Sala
Corazón salvaje ,Charly Hübner y Sebastian Schultz,ESTRENO,Alemania,577,10,ADULTOS,2019,FEBRERO,Sala
Atrás hay relámpagos,Julio Hernández Cordón,ESTRENO,"Costa Rica, México",1310,23,ADULTOS,2019,FEBRERO,Sala
Arabia ,Joao Dumans y Affonso Uchoa,ESTRENO,Brazil,781,11,ADULTOS,2019,FEBRERO,Sala
Felicite ,Alain Gomis,ESTRENO,"Francia, Senegal, Bélgiva, Alemania ",367,12,ADULTOS,2019,FEBRERO,Sala
El amor de mi vida ,Jane Campion,Cine y Literatura,"Gran Bretaña, Austria",190,1,ADULTOS,2019,FEBRERO,Sala
La Maestra del Kinder,Nadav Lapid,Cine y Literatura,"Israel, Francia ",170,1,ADULTOS,2019,FEBRERO,Sala
Clásicos de la época dorada en Hollywood,David ,Clásicos de la época dorada en Hollywood,Miércoles 06 ,190,1,ADULTOS,2019,FEBRERO,Sala
Clásicos de la época dorada en Hollywood,David ,Clásicos de la época dorada en Hollywood,Miercoles 13,145,1,ADULTOS,2019,FEBRERO,Sala
Clásicos de la época dorada en Hollywood,David ,Clásicos de la época dorada en Hollywood,Miercoles 20,150,1,ADULTOS,2019,FEBRERO,Sala
Clásicos de la época dorada en Hollywood,David ,Clásicos de la época dorada en Hollywood,Miercoles 27,190,1,ADULTOS,2019,FEBRERO,Sala
Luna Mortis ,Rafael Rangel,Conversando Cineastas,México,190,1,ADULTOS,2019,FEBRERO,Sala
Ser niño de nuevo,Gabriel y Moy Volcovich,Cine Judio,"México, Canadá, Israel",179,1,ADULTOS,2019,FEBRERO,Sala
El Hombre equivocado,Alfred Hitchcock,Ciclo Hitchcock,Estados Unidos,37,1,ADULTOS,2019,FEBRERO,Sala
De entre los muertos ,Alfred Hitchcock,Ciclo Hitchcock,Estados Unidos,152,2,ADULTOS,2019,FEBRERO,Sala
Intriga Internacional,Alfred Hitchcock,Ciclo Hitchcock,Estados Unidos,113,2,ADULTOS,2019,FEBRERO,Sala
Psicosis ,Alfred Hitchcock,Ciclo Hitchcock,Estados Unidos,30,1,ADULTOS,2019,FEBRERO,Sala
Los Pajaros ,Alfred Hitchcock,Ciclo Hitchcock,Estados Unidos,49,1,ADULTOS,2019,FEBRERO,Sala
Marnie,Alfred Hitchcock,Ciclo Hitchcock,Estados Unidos,42,1,ADULTOS,2019,FEBRERO,Sala
La Violación,Juliette Chenais de Busscher,CC,Francia ,196,4,ADULTOS ,2019,FEBRERO,Sala
Un día en Ayotzinapa 43,Rafael Rangel,Conversando Cineastas,México,148,1,ADULTOS,2019,FEBRERO,Sala
Bailabilionia / Los posibles (programa1),Silvina Estévez / Santiago Mitre y Juan Onofri Barbato,Cine y danza Independiente de buenos Aires ,Argentina,91,1,ADULTOS,2019,FEBRERO,Sala
Danza Blanca ,Gustavo Sidlin,Cine y danza Independiente de buenos Aires ,Argentina,61,1,ADULTOS,2019,FEBRERO,Sala
Trabajadores de la Danza,Julia Martínez Heimann y Konstantina Bousmpoura,Cine y danza Independiente de buenos Aires ,Argentina,47,1,ADULTOS,2019,FEBRERO,Sala
El Grito de los coyotes ,Rafael Rangel,Conversando Cineastas,México,141,1,ADULTOS,2019,FEBRERO,Sala
Programa 1: Fierro viejo /Eco trompeta/ Mi niña neón te quiero masivo/ El rincón del mundo a donde va lo que se olvida,Abraham Robert/ Luis Arellano/ Dafne Macías/ Fernanda Tova,Muestra CCC,México,88,1,ADULTOS,2019,FEBRERO,Sala
Programa 2: M,Eva Villaseñor,Muestra CCC,México,33,1,ADULTOS,2019,FEBRERO,Sala
Programa 3: El aire delgado/ Cuando las hojas caen/ Golden malibu,Pablo Giles/ Sofía Ptacnik/ Natalia Bermúdez,Muestra CCC,México,36,1,ADULTOS,2019,FEBRERO,Sala
Programa 4: Oro Rosado/ Dulve Venganza/ El último romántico,Daniel Anguiano/ Francisco Atristain/ Natalia García Agraz,Muestra CCC,México,50,1,ADULTOS,2019,FEBRERO,Sala
Programa 5:  Los fantasmas/ El viaje de la jarana/ Videotape,Carlos Cepeda/ Ezequiel Reyes/ Sandra Reynoso,Muestra CCC,México,127,1,ADULTOS,2019,FEBRERO,Sala
Programa 6: ¿Dónde estas?,Maricarmen Marino,Muestra CCC,México,42,1,ADULTOS,2019,FEBRERO,Sala
"Programa 7: Xinantécalt/ Te quiero, Alejandra, Historia de una aurora y dos ocasos/ Velvet",Ezequiel Reyes/ Minerva Bolaños/ Acelo Ruiz Villanueva/ Paula Hopf,Muestra CCC,México,110,1,ADULTOS,2019,FEBRERO,Sala
Programa 8,Sin dato,Muestra CCC,México,156,1,ADULTOS,2019,FEBRERO,Sala
Sólo con tu pareja ,Alfonso Cuarón,Retrospectiva Alfonso Cuarón,México,323,2,ADULTOS,2019,FEBRERO,Sala
La princesita ,Alfonso Cuarón,Retrospectiva Alfonso Cuarón,Estados Unidos,348,2,ADULTOS,2019,FEBRERO,Sala
Grandes esperanzas ,Alfonso Cuarón,Retrospectiva Alfonso Cuarón,Estados Unidos,256,2,ADULTOS,2019,FEBRERO,Sala
Y tú mamá también ,Alfonso Cuarón,Retrospectiva Alfonso Cuarón,México,344,2,ADULTOS,2019,FEBRERO,Sala
Harry Potter y prisionero de Azkaban,Alfonso Cuarón,Retrospectiva Alfonso Cuarón,"Reino Unido, Estados Unidos",348,2,ADULTOS,2019,FEBRERO,Sala
Niños del hombre ,Alfonso Cuarón,Retrospectiva Alfonso Cuarón,"Reino Unido, Estados Unidos",347,2,ADULTOS,2019,FEBRERO,Sala
El rey del barrio,Gilberto Martínez Solares ,Clásicos en pantalla,México,774,2,ADULTOS,2019,FEBRERO,Sala
Paterson,Jim Jarmusch,Cine y Literatura,"Estados Unidos, Francia, Alemania ",190,1,ADULTOS,2019,FEBRERO,Sala
Conferencia de Alfredo Hitchcock,Helena López ,Conferencia,N/A,4,1,ADULTOS,2019,FEBRERO,Sala
Steinbeck en México,Adela Pineda,Presentación de Libro,N/A,56,1,ADULTOS,2019,FEBRERO,Sala
Archivos X,Ximena Cuevas y Tania López,Seminario,N/A,88,1,ADULTOS,2019,FEBRERO,Sala
aniversario del Sae,N/A,funición privada,N/A,174,1,ADULTOS,2019,FEBRERO,Sala
"CLÁSICOS DEL CINE MEXICANO
ENAMORADA",Emilio Fernández,CLÁSICOS DEL CINE MEXICANO,México,105,1,ADULTOS,2019,FEBRERO,FORO
"
LOS LATIDOS DEL MAR",Sin dato,CC,México,105,1,ADULTOS,2019,FEBRERO,FORO
"CLÁSICOS DEL CINE MEXICANO
SALÓN MÉXICO",Emilio Fernández,CLÁSICOS DEL CINE MEXICANO,México,137,1,ADULTOS,2019,FEBRERO,FORO
"ROBERTO ROSSELLINI
LA MÁQUINA MATA MALVADOS",Roberto Rossellini,CC,Italia,86,1,ADULTOS,2019,FEBRERO,FORO
"ROBERTO ROSSELLINI
ROMA, CIUDAD ABIERTA",Roberto Rossellini,CC,Italia,120,1,ADULTOS,2019,FEBRERO,FORO
"ROBERTO ROSSELLINI
VIAJE A ITALIA",Roberto Rossellini,CC,Italia,153,1,ADULTOS,2019,FEBRERO,FORO
SUEÑO EN OTRO IDIOMA ,Ernesto Contreras,CC,México,142,1,ADULTOS,2019,FEBRERO,FORO
ROMA,Adolfo Aristarain,CC,Argentina,120,1,ADULTOS,2019,FEBRERO,FORO
